"","sssdistrict","jssdistrict","jsslong","jsslat","ssslong","ssslat","distance"
"259","Abura/Asebu/Kwamankese (Abura Dunkwa)","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,-1.19708836078644,5.13000059127808,104.967121285058
"260","Abura/Asebu/Kwamankese (Abura Dunkwa)","West Akim (Asamankese)",-0.609122574329376,5.8336124420166,-1.19708836078644,5.13000059127808,40.8811797844482
"261","Abura/Asebu/Kwamankese (Abura Dunkwa)","Fanteakwa (Begoro)",-0.356094092130661,6.43607091903687,-1.19708836078644,5.13000059127808,58.8184211268601
"262","Abura/Asebu/Kwamankese (Abura Dunkwa)","Upper Denkyira (Dunkwa-On-Offin)",-1.86744821071625,5.957923412323,-1.19708836078644,5.13000059127808,46.630897991682
"263","Abura/Asebu/Kwamankese (Abura Dunkwa)","Adansi East (New Edubiase)",-1.39652860164642,6.10548162460327,-1.19708836078644,5.13000059127808,15.9370537678469
"264","Abura/Asebu/Kwamankese (Abura Dunkwa)","Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415,-1.19708836078644,5.13000059127808,29.3933286361678
"265","Abura/Asebu/Kwamankese (Abura Dunkwa)","South Tongu (Sogakope)",0.645589470863342,5.96053743362427,-1.19708836078644,5.13000059127808,126.960758949593
"266","Abura/Asebu/Kwamankese (Abura Dunkwa)","Birim South (Akim Oda)",-0.969164490699768,5.86416721343994,-1.19708836078644,5.13000059127808,16.8301690014306
"267","Abura/Asebu/Kwamankese (Abura Dunkwa)","Sefwi Wiawso",-2.63786101341248,6.25838994979858,-1.19708836078644,5.13000059127808,99.5107953752112
"268","Abura/Asebu/Kwamankese (Abura Dunkwa)","Bunkpurugu Yunyoo (Bunkpurugu)",-0.0841669961810112,10.5221290588379,-1.19708836078644,5.13000059127808,87.9770134692275
"269","Abura/Asebu/Kwamankese (Abura Dunkwa)","Afigya Sekyere (Agona)",-1.54861426353455,7.00199604034424,-1.19708836078644,5.13000059127808,28.7206311006015
"270","Abura/Asebu/Kwamankese (Abura Dunkwa)","Dormaa (Dormaa Ahenkro)",-2.75384044647217,7.22284889221191,-1.19708836078644,5.13000059127808,108.238014556568
