"","schoolcode","program"
"293","51801","Visual Arts"
"294","60101","General Arts"
"295","30502","General Arts"
"296","21006","Home Economics"
"297","9070601","Motor Vehicle Mech."
"298","20103","Business"
"299","30901","Home Economics"
"300","90101","Business"
"301","61301","General Arts"
"302","50601","General Arts"
"303","9090401","Electrical Installation Works"
"304","40104","General Science"
"305","30603","Agriculture"
"306","50112","Visual Arts"
"307","80501","Business"
"308","30503","Technical"
"309","30504","Business"
"310","70602","Home Economics"
"311","31203","Business"
"312","9021301","Motor Vehicle Mech."
"313","80109","General Arts"
"314","20301","General Arts"
"315","21303","Home Economics"
"316","50107","Business"
"317","10118","Visual Arts"
"318","40108","Technical"
"319","50115","General Arts"
"320","10504","General Arts"
"321","90103","General Arts"
"322","10115","Home Economics"
"323","30903","Home Economics"
"324","50203","General Arts"
"325","10106","General Arts"
"326","50401","General Arts"
"327","30106","Visual Arts"
"328","30503","Home Economics"
"329","80101","Agriculture"
"330","40601","General Arts"
"331","40904","General Arts"
"332","50301","Business"
"333","61101","Agriculture"
"334","70503","General Arts"
"335","30305","General Arts"
"336","20409","Agriculture"
"337","40111","Business"
"338","30101","Business"
"339","50202","Business"
"340","30901","General Arts"
"341","10101","General Arts"
"342","30601","Visual Arts"
"343","31002","Home Economics"
"344","50113","Business"
"345","40107","General Arts"
"346","60701","General Science"
"347","51603","Home Economics"
"348","51001","Business"
"349","80401","Agriculture"
"350","30902","Business"
"351","100304","Home Economics"
"352","50101","Home Economics"
"353","70504","General Arts"
"354","30201","Visual Arts"
"355","60104","Visual Arts"
"356","10202","Technical"
"357","9021001","Catering"
"358","9010101","Auto Body Works"
"359","51102","Home Economics"
"360","80501","Home Economics"
"361","70102","Agriculture"
"362","50201","Visual Arts"
"363","40105","General Science"
"364","60104","General Arts"
"365","70102","General Science"
"366","50301","General Arts"
"367","60901","Business"
"368","9030401","Mech. Eng. Craft Pract."
"369","40302","General Arts"
"370","70704","General Arts"
"371","50112","Technical"
"372","100102","Business"
"373","31204","Home Economics"
"374","90401","Home Economics"
"375","100102","Agriculture"
"376","61301","Home Economics"
"377","10201","Business"
"378","40701","General Science"
"379","80501","Agriculture"
"380","70705","Business"
"381","40111","General Arts"
"382","20901","Agriculture"
"383","10101","Business"
"384","10108","Home Economics"
"385","50702","Home Economics"
"386","80801","Business"
"387","20801","General Arts"
"388","10124","Business"
"389","20105","Agriculture"
"390","10101","Visual Arts"
"391","70602","General Arts"
"392","30802","Home Economics"
"393","10119","Home Economics"
"394","60104","Business"
"395","30303","Agriculture"
"396","30904","General Arts"
"397","70101","Business"
"398","61202","General Arts"
"399","30504","Agriculture"
"400","60801","Home Economics"
"401","40602","General Arts"
"402","50301","Agriculture"
"403","30504","Home Economics"
"404","51603","Agriculture"
"405","20304","General Arts"
"406","80201","General Arts"
"407","10118","Home Economics"
"408","60104","Home Economics"
"409","50601","General Science"
"410","50801","General Science"
"411","60502","Business"
"412","20601","Visual Arts"
"413","70502","Home Economics"
"414","50204","Business"
"415","10107","Business"
"416","100105","Home Economics"
"417","80104","Home Economics"
"418","9070601","Block Laying & Concreting"
"419","30401","Home Economics"
"420","20602","Visual Arts"
"421","70604","Home Economics"
"422","21004","General Arts"
"423","50105","Visual Arts"
"424","60705","Agriculture"
"425","20602","General Arts"
"426","70603","Business"
"427","40202","Home Economics"
"428","30903","Business"
"429","10121","Visual Arts"
"430","30905","General Arts"
"431","30905","General Science"
"432","60802","Agriculture"
"433","50204","General Arts"
"434","50601","Agriculture"
"435","21002","Business"
"436","30301","General Arts"
"437","9050101","Electrical Installation Works"
"438","9070601","Painting & Decorating"
"439","20401","Home Economics"
"440","61101","General Arts"
"441","20607","General Arts"
"442","50701","Home Economics"
"443","90402","General Arts"
"444","60201","General Arts"
"445","41001","General Arts"
"446","90501","Business"
"447","30606","General Arts"
"448","80701","General Arts"
"449","100105","Business"
"450","20503","Agriculture"
"451","100104","General Science"
"452","30501","Home Economics"
"453","90402","Technical"
"454","51801","Home Economics"
"455","10204","Technical"
"456","70402","General Arts"
"457","50302","Home Economics"
"458","50111","Business"
"459","60701","Business"
"460","100203","Home Economics"
"461","61202","Home Economics"
"462","30402","General Arts"
"463","20302","Visual Arts"
"464","31102","General Arts"
"465","21301","General Science"
"466","10108","General Arts"
"467","40901","General Science"
"468","30703","Agriculture"
"469","30303","Business"
"470","10114","General Science"
"471","90602","Home Economics"
"472","10108","General Science"
"473","80303","Home Economics"
"474","90303","Agriculture"
"475","10302","Business"
"476","70703","Home Economics"
"477","70504","Business"
"478","50106","General Science"
"479","40801","Agriculture"
"480","60901","Technical"
"481","20501","Business"
"482","20602","Agriculture"
"483","70502","General Arts"
"484","10109","Visual Arts"
"485","100502","Agriculture"
"486","10107","General Science"
"487","70106","General Arts"
"488","60104","Agriculture"
"489","21010","General Arts"
"490","9050101","Auto Body Works"
"491","21302","General Science"
"492","61202","Business"
"493","90301","General Arts"
"494","30401","General Arts"
"495","50402","Home Economics"
"496","30303","Visual Arts"
"497","30404","Business"
"498","40801","General Arts"
"499","50202","General Arts"
