"","schoolcode","program","averagescore"
"777",10103,"General Arts",362.581196581197
"778",10104,"General Arts",320.127272727273
"779",10105,"General Arts",356.735632183908
"780",10106,"General Arts",350.353535353535
"781",10107,"General Arts",318.065934065934
"782",10108,"General Arts",310.663865546218
"783",10110,"General Arts",409.146666666667
"784",10111,"General Arts",401.525
"785",10112,"General Arts",385.850574712644
"786",10114,"General Arts",351.9
"787",10115,"General Arts",338.538461538462
"788",10116,"General Arts",325.64
"789",10117,"General Arts",375.836206896552
"790",10118,"General Arts",320.586592178771
"791",10119,"General Arts",291.96
"792",10120,"General Arts",270.126050420168
"793",10121,"General Arts",386.3875
"794",10128,"General Arts",295.54
"795",10142,"General Arts",305.105263157895
